Timestamp,What Happened and When? (Feel free to include incidents that happened to you or to others close to you in your program/department/campus/lab/disciplinary group),What Was Your Status When the Incident(s) Happened?,"What Was the Status of the Perpetrator(s) (Particularly, relative to you)?",What Type of Institution Was It?,(Optional) What Was The Name of the Institution(s),Your Field/Discipline,The Gender of the Harasser,Institutional Responses to the Harassment (If Any),Institutional/Career Consequences for the Harasser (If Any),The Impact of the Harassment on Your Career,The Impact of the Harassment on Your Mental Health,The Impact of the Harassment on Your Life Choices/Trajectory,"Other Comments You'd Like to Add  (If you'd like me to know your name or the name of the perpetrator, please email me privately at gettenure@gmail.com. The purpose of this survey is to gather anonymous information to give a sense of scale.  As always, I will publish no information without explicit permission and extensive prior discussion)",What Was the Gender of the Harasser?
12/1/2017 15:28:00,Lied about title iX. Sent inappropriate/emotional texts,Research Assistant ,Boss ,Elite Institution/Ivy League,,Writing,,None,None,"None, but lots of fear that it will later ",I was afraid to walk on campus,I don't know yet,,Male
12/1/2017 15:29:12,"Several women masters students (I'm male) told me about a senior tenured male professor who made mild to utterly obscene sexual comments to them. I looked up university policies and procedures around this and identified courses of action, but none wished to pursue anything and did not want me to act on their behalf. The university required them to lodge a complaint as anything I said would be hearsay, so no action was taken. The professor is now head of department. ",Graduate (masters) student. ,"Professor, unconnected to my research, but pals with my former supervisor and most of the senior male staff. They hang out together, and some say used to use the department email list to trade in vile sexist jokes. ",Elite Institution/Ivy League,University of Alberta,Social sciences,,None.,None. ,None. ,"Some. It still is, years afterward, distressing to hold information that I am unable to act on. I find myself angry and frustrated when I think about it.",Picked my PhD carefully. ,"I have heard of other incidents. A colleague is staff in an institution where a serial abuser has recently been fired under police investigation. Allegations go back years and involve numerous male-on-male sexual assaults by a well known professor who groomed and assaulted his graduate students. Staff had reported numerous times over the years to the university administration that something awful was happening, but the institution failed to act, and thus did not remove the abuser from access to the people he was abusing.  In a separate instance, someone relayed to me observing a sexuality studies professor expose himself to students at a conference. ",Male
12/1/2017 15:39:58,Gender based harassment ,TT,TT,Regional Teaching College,,,,,,,,,,Male
12/1/2017 15:40:49,Conference - male PI put his hand down my pants,Postdoc,Random PI from another lab,"More Than One Institution (feel free to elaborate in ""Comments"")",,Plant Biology,,,,,,,,Male
12/1/2017 15:43:04,"A professor I wanted to work with met with me in his office and told me he was no longer having sex with his wife, suggesting he was looking for that role to be filled. When I nervously and unbelievingly laughed, he dismissed me and wouldn’t work with me.",First-semester grad student,Professor in the grad program I was working in,Elite Institution/Ivy League,,Comparative Literature,,None,None,Left that grad program,Doubt of my academic abilities,Significant — got a Ph.D. years later at a much less prestigious school. Cannot get a job with this Ph.D.,,Male
12/1/2017 15:49:12,"At the beginning of my Ph.D. program, I would stop by the office of a professor whose work I admired. It was my second semester in the program and I was enrolled in his course. As we were talking, he asked me who I was TA-ing for. I told him and he then asked if ""the freshmen boys thought she was attractive?"" I felt blindsided by this question and uncomfortable. I responded with ""Why would I know that?"" I found it creepy, but shook it off as an older man trying to be funny. On another occasion, he lamented to me how the undergraduates now were all too busy on their phones between class instead of ""going back to their dorm rooms to get to know each other better."" He would always pepper our conversations with comments like these which made interacting with him uncomfortable. I was hoping to get some kind of guidance and mentorship as I went through the program since he is recognized name in the field. I never felt like I was taken seriously because of his inappropriate comments. Another time, I was dressed up to give a lecture in a tasteful outfit which included a knee-length pencil skirt and knee-high boots--holdovers from a previous job in an non-profit office setting. He came up to me in a hallway and stood much too close to tell me how ""sexy"" he thought my outfit was and how I should dress like that more often. That was the last time I ever wore a skirt. The rest of the time in the program, I dressed androgynously in jeans and over-sized t-shirts. I also stopped going by his office. Whatever contacts or advice he could have given me was not worth having to listen to his creepy comments about his loneliness or how he'd love to have his female students to his apartment, but ""the bed is much too small."" I felt that he was testing the waters to see if he could get away with more than just saying something questionable. I decided I never wanted to be alone with him, ever. Comparing notes with other females students, I found out he did it to almost every women he encountered, but since he was a decades-long member of the faculty, nothing was ever done about his behavior.He may have received a slap on the wrist about 15 years ago, but that's about all. I changed the direction of my study so I would not have to take his courses, or include him on my dissertation committee. It caused me stress and made me doubt myself and my worth as an academic.",Ph.D student,Full professor,Other R1,,History,,Never reported it. ,None. ,It made me question why I was in academia in the first place. ,Overall stress. ,Moved into another subfield so as to avoid him at the university and at conferences. ,"The worst part of all this is that I am a 1st gen graduate student and a WOC and this person makes a big show of being a friend to women and underrepresented groups in academia. I can see how he can be manipulative, especially with younger women who may not know how the professor/student relationship is supposed to work. He is retired now and has since moved out of the area. ",Male
12/1/2017 15:59:07,"Verbal sexual harassment and inappropriate behaviour. 
Lewd comments, lewd questions, disclosure of their personal sex history, life, questions, desires, quandaries. 
Inappropriate commentary on female students. 
Womanizing comments. 
Questioned me about my own sex life, practices. 
Commented on my appearance every time they saw me, one way or another. 
Told stories of past inappropriate behaviour with students and provided justifications. 
Sexualized comments about my students. 
Ranking other departmental members by their looks and intelligence, in addition to ranking students in similar ways. Good looks = intelligence. Some of my students were better looking than me, according to him, and therefore more intelligent than me as well. It's a real ego boost to know that your colleague thinks that your 19 year old students out shine you in the realm of intellectual achievements. 

 One day we were walking down a hallway in a classroom building and a young female student walked by. He turned his head, looked her up and down, and said - Damn, why do they have to be so cute? Couldn't they tone it down to make life easier for us?  

Spoke regularly of the influence he had on my eventual tenure application. ",1st Year Tenure Track Assistant Professor,"Tenured Professor, Senior Professor in Subject Area within department, Designated Departmental ""Mentor""",Other Type of School,,Psychology ,,"After I had been in the department for many months, someone else in the department came to 'check in on me' to let me know that it was generally known that my harasser was a harasser and they wanted to make sure I was okay. They didn't want to make sure he was reported, or that anything was done to stop it, they just wanted me to know they knew that he was an issue and that he had been an issue in the past as well. ?!?!?!? Taking the perspective of an objective outsider, this is horrific. It is institutional support, knowledge and protection of someone who is a serial offender. As the person experiencing the harassment and trying to make sense of it, I actually felt better after the person spoke with me and I learned that ""I wasn't the only one."" At least this let me know that 'it wasn't in my head' and it also made me feel somewhat 'off the hook' about whether or not I had a responsibility to report the behaviour. My main concern before had been whether this person was treating other people this way as well or potentially treating the students in the same way. I was worried that somehow I was the only one with this information and that if I didn't tell anyone I would be complicit in whatever other 'bad deeds' he was committing on campus. It sounds ridiculous to actually type this out, but knowing that the department and the administration already knew that this person was a predator took the weight off of me, and therefore made me feel better. It also made me angry. Why did they leave me be for so many months? Why wasn't I warned immediately? And really, why is this person employed at the university? This last question though, seems almost silly. We all know the reasons why. Instead of making a fuss or trying to prove a case, they just sit back and hope that he will retire. The women in the department take on additional students in order to avoid the potential situation of having a known predator serve as a student's primary supervisor. The women in the department teach overloads, have classes filled past the cap because one of the senior, tenured professors is a known predator and therefore cannot be trusted with upper level courses. Honestly, if you cannot trust someone with a room of 20 young girls, why can you trust them with a room of 90 young girls? ","None. He is biding his time, pulling in a full professor salary at the top of the grid waiting until it is absolutely necessary to retire. He doesn't have to do research, he doesn't have to supervise students (because they're worried about how he'll interact with them if he does), he doesn't have to teach new courses. He has a great job. ","Too soon to tell. I haven't quit yet. I tend to not go to my office very much. I work mostly from home whenever possible. I began doing this so as to avoid his visits to my office. Eventually, it seemed to work. When I do go to my office now, he doesn't seem to come knocking. However, I continue to go rather irregularly, so for all I know, he does still come knocking and I am just not there to answer. In the long run, this could have a negative impact on my career if it has created the impression that I am not around. I know that they tell tenure track people to ""look busy"" and to ""be seen."" I've basically done the opposite in an attempt to avoid him as much as possible. Luckily, I think that my track record on paper will make up for this, as there's very little else to find fault with me on other than the amount of time I spend in my office vs. working from other locations. ","Starting a new tenure track position is known to be stressful, but honestly, it was this harassment that made the beginning of my position as a professor the most stressful and the most upsetting. I wrote 3 grants in my first year, taught an overload, and published 5 manuscripts. I did not find any of that stressful - I enjoyed my work. What kept me up at nights, what brought me to tears, and what made me hide from my office was the stress and discomfort of wondering what to do about the sexual harassment I was experiencing. Teaching 3 new courses, teaching for the first time ever, writing grants, continuing my research - none of that brought me to tears in my first year. The only thing that brought me to tears was my experiences with this one individual - who was supposedly doing all that he could to 'help' me. ",The experience really burst my bubble. I honestly believed that the trope of the 'old creepy male professor' was a thing of the past. I never in my life expected that I would come face to face with the cold reality that this still takes place. It has tarnished what should have been the most exciting part of my career up to this point. ,"Good idea. the Chronicle of HE seems to be collecting similar info, but you have better questions  - so I filled yours out but not theirs. ",Male
12/1/2017 16:01:40,A much older professor had a lot of graduate students over to his house. He proceeded to drink to much and request over and over that I massage his shoulders. This was in front of all the other graduate students. I relented and massaged his shoulders a little. He loudly and playfully moaned. Everyone laughed. I was really embarrassed. ,Masters studebt,My professor,Regional Teaching College,,Biology,,I never said anything about it to anyone. But another graduate student told a different professor who jokingly referenced the incident to me later. ,,,,,,Male
12/1/2017 16:07:28,I was invited to coffee by a senior faculty member that ended up as drinks at a restaurant. The course of the evening became progressively worse as this man twice my age promised to advance my career while he suggested other perks. He went on to explain how his marriage was stale and how cute I was and how he had to get to know me the monent he saw me. I was a visiting faculty member at an R1 public university who had just finished my dissertation. I trued to steer the conversation away from sexual inuendos but the senior faculty member would not let up. I had to state that my fiance was picking me uop and that I had to leave. He said he would live to see me again. I smiled politely and walked away. I told a permanent faculty member who expressed shock but that's it. I was only there for a yar and avoided this maan for the rest of my time there. No one else ever sought me out.,Visiting Lecturer,Tenured favulty,Other R1,University of Michigan,Religious Studies but this was a Near eastern Studies program,,Shock. This was just a minor offender. There was a worse offender in the department who also still had his job.,None,None,Self doubt and general suspicion of senior men,None,,Male
12/1/2017 16:10:04,Professor sexually harassed another professor,graduate student,professor in department,Small Liberal Arts College,,Women's and Gender Studies,,None,None,N/A,N/A,N/A,woman professor harassed another woman professor in the department but faced zero consequences.  ,Female
12/1/2017 16:20:29,"Senior colleague hit on me, made overt sexual advances on several occasions—including in his own home with his wife & child in rooms down the hall.",Untenured,Tenured—In affiliate department (But on my review & reappointment committee),Small Liberal Arts College,,Religious Studies ,,Did not report ,N/a,He left within a year or so & I did a few years later. No lasting professional consequences.,Has made me question my place in the academy ,N/a (thankfully),,Male
12/1/2017 16:33:11,a young gay graduate student often touched the bodies of female graduate students because he believed he could have access ,grad student,younger grad student in an MA program ,Other R1,indiana ,communication studies,,,he is a darling of the field,,,,,Male
12/1/2017 16:34:50,"Cohortmate became fixated on the idea that I ""hated men"" and had forced his last OKCupid date, coincidentally a friend of mine, to decide she didn't want a second date. Screamed at me in our office. ",MFA student,We were both students but he had a very close friendship with the program director.,Other R1,,creative writing--master's,,"Program director told all my classmates to stop speaking to me, and many of them did. She also waited until a night when I was sick to tell everybody how much I earned for my fellowship. I attempted to use a medical excuse (I was seeing a therapist to deal with the fallout) to miss a class, but then she told everybody I was in therapy.",none,I cannot get letters of rec from any of my former professors and will never be a professor of creative writing. My program director warned all new hires about me during a time of high turnover so I could not have good relationships with most faculty. ,"I became suicidal thinking that the years of my life I had put into academia would now mean nothing, and that I had no friends in my program. I had to start therapy. ","I got into a different academic field in which I have yet to be harassed, took my last year of the degree to study that field on another campus (while writing my novel at the same time), and am trying to get into PhDs in my new field. Maybe this sort of derailing harassment will take place again, but I'm mostly just not speaking to male colleagues now in hopes of avoiding their attention. I also don't trust women faculty members who seem to get along with men too well, to be honest.  ","MFAs are so rife with this shit. It might be the false notion that artists are all progressive liberal feminists (admins who believe this assume I'm lying about my professors' and classmates' not-at-all-feminist behavior), the fact that a person can be pretty stupid and reactionary and still write good enough poems to get into one of the many programs that exist, the notion that as artists we don't have to conform to the same rules as everybody else. 

Someone at a campus across the country refused to write me a recommendation letter to Sewanee two years ago because she didn't ""think it was safe for young women."" She was talking about ***. Famous writers with tenure track positions at many different universities knew about *** for many, many years, and didn't do shit. I mean, sometimes they said vague stuff to their own students about not thinking Sewanee was safe, but mostly they didn't do shit. ",Male
12/1/2017 16:47:54,"As an undergrad music major I had to take private lessons with the piano teacher. He sexually assaulted my best friend, also a piano major who was very very homesick and had no way to get home. He was from her hometown. He got her when she was drunk and high. She wouldn’t report but I left the piano studio. He kept touching my arm. I would wear my hair down on the side he sat in to hide my face. He would try to brush it back or told me to pin it up. I couldn’t take it anymore and left. ",Undergraduate student ,"Professor of piano, which was my major instrument then. ",Regional Teaching College,,English ,,None. I was too afraid to tell. They were all men and all friends. ,None. ,Changed to another instrument I wasn’t as good at and then left the school. ,I don’t like to play piano anymore. ,Not sure ,,Male
12/1/2017 16:53:38,"Senior white male colleague from another department (we share a building) came into my office & closed the door. He wanted to talk to me about my reappointment file (pretenure 3rd year review). He told me he was shocked it took so long to achieve 3rd yr review (it wasn’t: I was on time), looked at my pregnant body & said “well it’s because of all your pregnancies, no doubt.” (I’d been pregnant once.) told me I was “brave” to be so far behind (again: I was not) & “knocked up.”",Assistant professor ,"Full professor, on tenure & promotion committee",Other R1,,,,,,,,,,Male
12/1/2017 16:55:49,Touched without consent repeatedly in a social situation. ,Assistant Professor,Emeritus professor. Had been part of search committee.,R2,,Cultural Studies,,,,"I distanced completely from a person I thought was invested in my success. I don’t have any other real mentors in my department, and I’m less interested in asking for support from male colleagues.","It’s made me paranoid of interaction with male colleagues, and men in general.",,,Male
12/1/2017 16:56:40,"Senior white male colleague knocks on door, brings female undergraduate with him. Announces that he is going to hug her, needs “any woman to witness,” before I can say anything has full-bear-hugged this undergrad. I protest, saying this is inappropriate and, in a joking tone to diffuse the sfuddnt’s Obvious discomfort, I can’t undo harassment for him by virtue of being a woman. He, still touching the student, said: “But it sure makes this look friendly, doesn’t it.”",Assistant professor ,"Full prof, endowed chair ",Other R1,,Humanities ,,None,None ,None,,,,Male
12/1/2017 17:12:49,"Sexually harassed, assaulted and raped by a professor when I was an undergrad.  This was in the 70's. ",Undergrad student. ,Chair of the department I majored,Regional Teaching College,,Theatre,,,,,PTSD,I was young. This experience early in my life was a real bloc to my success for many years. ,,Male
12/1/2017 17:14:23,"In my first tenure track job, my colleague (same rank, hired at same time) repeatedly posted highly innappropriate and offensive misogynist materials and comments on social media— where he was linked to all of our senior colleagues. No one else said anything.",Assistant professor,Same rank ,Other R1,,,,,,I left the institution the following year. His presence (and the lack of response from senior colleagues) made my work environment feel toxic. ,"I spent too many days worrying about what he had done, what he’d do next and how I should respond. I lost many writing days to this anxiety and anger. ",Left my R1 TT position for a TT at a smaller institution. ,,Male
12/1/2017 17:20:01,"I started a new job as a visiting assistant professor and within the first month I got an email to my faculty email account from a source I couldn't trace back to that told me the sender had been watching me since I started working there ,found me very attractive and knew I was married but was interested in pursuing an affair with me. I wrote back to say I had no plans to cheat on my marriage.",First month of a three year visiting assistant professor line,I got the impression it was a fellow faculty member,Small Liberal Arts College,,Math,,I never told anyone but my husband ,None,"I will never know. I had been told on my hiring that my three year visiting position had a 99% chance of converting to tenure track but in fact, it did not and there was never a reason it didn't.","It's been 18 years since this anonymous email and I still remember it and feel affected by it. For the next three years after receiving this email, I never knew who had sent it and felt that they had some right to suggest that I violate my marriage vows. I felt guarded around colleagues wondering if they sent it. I felt concerned about my interactions with colleagues lest they think I was flirting or being too friendly.","Other than still wondering to this day who it was, it hasn't affected my life choices. I was happy once the position ended and I found a tenure track job and could get away from whoever had made his unwelcomed advance  and uncomfortable working environment.",,"Unsure (if harassment was anonymous, for example)"
12/1/2017 17:36:42,"I have never personally been harassed or assaulted by anyone in my department. However, I would definitely say that my department and my graduate student colleagues have certainly contributed to a hostile work environment within the department. When I entered, the graduate cohort definitely felt like a ""boys club"" where the students with the most power were men, and their behavior fueled socializing and hierarchies in the department. Most of their socializing consisted of drinking and taking drugs until losing all control of themselves. It was not uncommon for them to exposing themselves at parties and even public places like bars.",Ph.D.,"Most of them were graduate students, although at least one professor contributed to this environment by making out with a Ph.D. student in a departmental party at a conference.",Other R1,Indiana University,Communication and Culture,,None,Little,I've been scarred by the behavior of these people. I don't want to relate to my colleagues like this but it's been very difficult to forge connections with this toxic group. I avoid attending social or even professional departmental events because of this. I also feel that my own career as a student has suffered because I haven't been given the same level of recognition as the department.,I have anxiety and depression that have been exacerbated by these experiences.,This experience within the department has definitely hampered my completion and my comfort moving ahead in the field.,Please do not ignore hostile work environment. It's very common and often overlooked as a problem.,Male
12/1/2017 17:38:46,"My male boss (mid-50's) described his sexual attraction to a celebrity. On another occasion, he commented that it would be less expensive to hire women to do the job his wife did (cook, maid, prostitute..) He would constantly commend a female graduate student on what a good job she did ""taking care of her body"". This happened in a STEM lab in the last 5 years. ",graduate student and undergraduate student,tenured full professor,Other R1,,Chemistry ,,did not turn him in,,Avoided discussing topics outside of research,"I felt judged for my appearance and that I had gained weight in graduate school due to stress and having kids. My boss also favored the graduate student he found attractive, which made the other lab members resentful. ","None, but I am more aware of the harassment that occurs. At the time, I thought this was normal and did not realize that it was very inappropriate for a male PI to discuss his sexual preferences with his students. ",,Male
12/1/2017 17:39:01,"It was my first national conference that I would be presenting at. Being a grad student, I didn’t have a lot of money so I volunteered to help run the conference in exchange for my entry fee being waved. One of the coordinators of the conference, after setting up, suggested we all go eat. So we did and the conference’s organization paid for the dinner and the very expensive wine. The second bottle of wine wasn’t finished by the group and so the organizer took it back with him saying he didn't want to waste good wine. That night, the conference organizer in question sent me a text (he had all the volunteer numbers) suggesting that “this bottle of wine wasn’t going to drink itself.” I remember feeling immense fear but I ignored the text, locked my door, and said the next day that I had put my phone on “do not disturb.” The next day, I was invited to dinner by a prominent scholar that I wanted to talk to about her work. To my surprise, several people, including the conference organizer were invited also. As long as I am with the group, I thought, it should be fine, and it was, until it was time to go back and four of the group entered a taxi and I found myself alone, in a city I had never been to before, with this man. We wandered around the Harvard campus and my brain was close to panic. I was creeped out, trying to keep the conversation casual, and wondering how to get away. This was before the time of Uber and Lyft. It was hard to think and I belatedly realized how much my wine glass kept being refilled. He eventually proposed sex which I refused… again, and again. Somehow, I was grabbed and his lips were on mine. I pushed him away and strongly said “no.” We eventually made it back to the hotel where I went to my room, alone, and sobbed. 

My presentation at the conference was well received. I was hailed as “impressive” and “brilliant.” Yet, all I could think of was avoiding the conference organizer. 
",Grad Student (Masters),Conference Coordinator,Other R1,,Music,,,none,,I became depressed and withdrawn.,,,Male
12/1/2017 17:43:12,"In grad school, I was paid $7500 for 9 months. After bills and rent, I didn’t always have money left over to eat. So, when a PhD student at the same grad school who had also gone to my undergrad years before me offered to get dinner after one of his classes, I was relieved. We got dinner and drinks. The conversation was fine and I was thankful for the food. He complimented me on my intelligence and said I was pretty but that was it for that night.

When he offered dinner after class again, I was, again, thankful that I would eat that night. This time, however, he kept pressing martinis on me and I kept saying no to more drinks and he then asked if I would fuck him. I said no, and he told me that he wanted some sort of compensation for the amount he was paying in dinner and drinks. I remember his hand on my thigh trying to get higher and him boasting about his, um, speed and that he could be “like a jackhammer.” Somehow, I got back to my apartment and then sobbed. 

When I would see this man in future years, my stomach would turn every time and when he got a job at a nearby college, I nearly threw up",Grad Student (Masters),PhD Student,Other R1,Kent State University,Music,,none,none,,"I became depressed, withdrawn, and fearful whenever I would see him or even just knowing that he is around young students, both high school and college.","I want to be more active in my field but I don't want to interact with him at conferences, and he is reasonably well-known in my field now and continuing to grow in prominence.",,Male
12/1/2017 17:49:34,"1. The Chair of the French Department tried to follow me home, with the intention of initiating sexual relations with me (Fall 1981); 2. I was propositioned repeatedly by a senior colleague (1986-1990); 3. I was groped by one senior colleague (1990) and propositioned by another (1990-1991).",1. Graduate Student (1981); 2. Assistant Professor (1986-1990); 3. Assistant Professor (1990-1991).,1. Department Chair and Chair of major awards committee; 2. Senior Colleague; 3. Senior Colleagues.  All could decide to end my employment and deny grants or awards.,Elite Institution/Ivy League,1. Yale; 2.  Brandeis; 3. Cornell,French,,"1. Did not report (harasser was one of the most powerful people in the profession; had told friends of mine he harassed that he could destroy their careers); 2. Was told that nothing could be done, as the harasser was too powerful; 3. Did not report - there was no mechanism to report harassment at the time, and one of the harassers was protected by administrators at every level of the university. ",None.,"1. Was denied a dissertation completion grant; 2. left the second institution; 3. Mentors of harassers (also friends of harasser in incident #1) tried to interfere with the tenure process to block my tenure, but did not succeed.","Stressful.  I no longer trust the institution I work for (also because of insistent protection of harassers of students, and willingness to destroy students' careers in order to achieve that protection).",Left first job because of it.,,Male
12/1/2017 17:50:45,I was stalked for a year ,A PhD student,My ex-boyfriend and a fellow grad student in my program,Other R1,A U Cal campus,Interdisciplinary Humanities,,"For various reasons I don't have good memories of this, but I know that he eventually left or was asked to leave the program. But it was not an immediate action, even after I received a restraining order. ",I don't think he even finished his doctorate. Not sure what he is doing now. ,"Delayed the completion of my dissertation, I emotionally and physically/geographically distanced myself from my program (including my fellow students, advisor, and committee members), and university.","PTSD, depression",,,Male
12/1/2017 18:02:04,"When I was a grad student, a professor tried to make out with me at a party that was pretty well-attended by the people in our department. I told him two or three times that it was a really bad idea, but he didn't let up. When he said ""Kiss me!"" and grabbed my behind, I pushed him aside, ran away, and hid behind a couch. I later found out that the very next thing he did was to sexually assault another student in a more egregious way. When she filed a complaint, I stepped forward as well.",Graduate Student,"Assistant Professor. He wasn't on my committee, and, by that time, I wasn't taking any of his classes.",Other R1,,,,"The administration took the complaint seriously: Within a couple of days, he was banned from campus, and his tenure pack was frozen. He was eventually offered the choice to either resign or to undergo the university's disciplinary process. The department didn't handle it as well. In an effort to protect our privacy, they neglected to tell his students that he wouldn't be returning to campus for the foreseeable future, and didn't say much more to the faculty. I know of two faculty members who weren't aware of the gravity of the situation until some grad students clued them in.","He chose to resign rather than face the disciplinary process. Last I heard, he was working in someone else's lab.","Considering how much professional networking occurs at mixers where alcohol is served, this experience has added another dimension to my networking nervousness. That said, I'm lucky that we're in different subfields, so the direct impacts are very limited.","In the first week afterwards, I spent an afternoon under my desk feeling like I was at the bottom of the ocean and nothing was real. It's the only anxiety attack I've ever had. Paradoxically, it had a lot to do with the swiftness of the university's response. Over the course of 48 hours or so, I went from wondering if the university would take us seriously to knowing that I'd played a part in getting him removed from the university. It was some seriously heavy emotional whiplash.

I definitely developed an emotional trigger around workplace/academic sexual harassment. Several years later, I was a real mess for a week after #metoo went viral.",None so far,"Even though I stood up for myself, the other student, and who knows how many future students, I don't feel proud or empowered. Even though consequences happened where consequences were due, it isn't a happy situation and it never will be.",Male
